tpm,treatment
28.3835,Con
26.0706,Con
26.1635,Con
28.1307,P.brassicae
34.3392,V.dahliae
29.9167,P.brassicae
34.3831,V.dahliae
33.0684,V.dahliae
44.1909,P.brassicae
